2019-07-11 22:49:11,203 [django.db.backends:90] [utils:execute] [DEBUG] (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-07-11 22:49:11,210 [django.db.backends:90] [utils:execute] [DEBUG] (0.007) SELECT VERSION(); args=None
2019-07-11 22:49:11,464 [django.db.backends:90] [utils:execute] [DEBUG] (0.021) SHOW FULL TABLES; args=None
2019-07-11 22:49:11,466 [django.db.backends.schema:127] [schema:execute] [DEBUG] CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime(6) NOT NULL); (params None)
2019-07-11 22:49:11,881 [django.db.backends:90] [utils:execute] [DEBUG] (0.415) CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime(6) NOT NULL); args=None
2019-07-11 22:49:11,901 [django.db.backends:90] [utils:execute] [DEBUG] (0.019) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=[u'django_migrations']
2019-07-11 22:49:11,908 [django.db.backends:90] [utils:execute] [DEBUG] (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=[u'django_migrations']
2019-07-11 22:49:11,915 [django.db.backends:90] [utils:execute] [DEBUG] (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=[u'django_migrations']
2019-07-11 22:49:11,923 [django.db.backends:90] [utils:execute] [DEBUG] (0.006) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=[u'django_migrations']
2019-07-11 22:49:11,961 [django.db.backends:90] [utils:execute] [DEBUG] (0.004) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-07-11 22:51:22,522 [django.db.backends:90] [utils:execute] [DEBUG] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-07-11 22:51:22,523 [django.db.backends:90] [utils:execute] [DEBUG] (0.001) SELECT VERSION(); args=None
